b1,b2,bout,w1,w2,wout
0.2865224,0.2936869,0.1104127,0.2407259,-0.1720932,-0.1771559
0.6316001,-0.1782614,NaN,0.057078,0.0792147,-0.7199963
-0.1667819,0.7244994,NaN,0.4008114,-0.1910588,-1.8493216
0.0261982,0.0256952,NaN,1.1144066,-0.322824,-0.1742165
-0.4251538,1.1910279,NaN,-0.7157024,0.5843604,2.1052964
-0.2298566,-0.2118984,NaN,-0.84575,0.1335114,0.6356052
-0.1316367,NaN,NaN,0.3743647,0.0296474,NaN
-2.1844873,NaN,NaN,0.1444803,-0.6353999,NaN
0.6404062,NaN,NaN,0.3264149,0.4531038,NaN
NaN,NaN,NaN,0.2456892,-0.0249547,NaN
NaN,NaN,NaN,-0.2247127,1.238304,NaN
NaN,NaN,NaN,0.25075,-0.2075028,NaN
NaN,NaN,NaN,0.5445406,-0.7457321,NaN
NaN,NaN,NaN,0.9000833,-0.3749472,NaN
NaN,NaN,NaN,0.5031534,-0.5838175,NaN
NaN,NaN,NaN,-0.2639107,0.9580022,NaN
NaN,NaN,NaN,-0.1680614,1.3263677,NaN
NaN,NaN,NaN,-0.1574784,0.6915472,NaN
NaN,NaN,NaN,0.3018464,0.3544204,NaN
NaN,NaN,NaN,0.0444402,0.3397534,NaN
NaN,NaN,NaN,-0.7465683,0.6855671,NaN
NaN,NaN,NaN,0.0235345,-0.3829303,NaN
NaN,NaN,NaN,-0.7152267,-0.565073,NaN
NaN,NaN,NaN,0.7393577,0.0278956,NaN
NaN,NaN,NaN,0.3235425,-0.2896569,NaN
NaN,NaN,NaN,-1.163151,-0.3191805,NaN
NaN,NaN,NaN,0.5115603,-1.4443303,NaN
NaN,NaN,NaN,0.1150533,-0.5643729,NaN
NaN,NaN,NaN,0.5098895,0.2483351,NaN
NaN,NaN,NaN,0.0005552,0.5827032,NaN
NaN,NaN,NaN,-0.9176645,-0.9086335,NaN
NaN,NaN,NaN,0.1181628,0.4787444,NaN
NaN,NaN,NaN,-0.0040495,0.8429381,NaN
NaN,NaN,NaN,0.2909048,0.9207507,NaN
NaN,NaN,NaN,-0.8904483,-0.936978,NaN
NaN,NaN,NaN,0.1448354,-0.1713838,NaN
NaN,NaN,NaN,-0.4632044,-0.4383295,NaN
NaN,NaN,NaN,0.826683,-0.5071733,NaN
NaN,NaN,NaN,0.2166662,0.3985061,NaN
NaN,NaN,NaN,-0.6207654,0.4865748,NaN
NaN,NaN,NaN,0.1484592,0.6884747,NaN
NaN,NaN,NaN,-1.278397,-0.2115519,NaN
NaN,NaN,NaN,-0.0585576,-0.0926179,NaN
NaN,NaN,NaN,-1.299271,0.0016542,NaN
NaN,NaN,NaN,0.5002357,-1.2158689,NaN
NaN,NaN,NaN,-0.1813687,-0.110804,NaN
NaN,NaN,NaN,-0.0831856,-0.7437223,NaN
NaN,NaN,NaN,1.8012177,0.2627019,NaN
NaN,NaN,NaN,-0.8372735,0.0332831,NaN
NaN,NaN,NaN,-0.8689561,-0.1493071,NaN
NaN,NaN,NaN,1.7704512,0.1976857,NaN
NaN,NaN,NaN,0.5589914,0.2296399,NaN
NaN,NaN,NaN,0.4706213,0.8296182,NaN
NaN,NaN,NaN,0.0099867,-0.0054291,NaN
NaN,NaN,NaN,0.2028467,NaN,NaN
NaN,NaN,NaN,-0.1732981,NaN,NaN
NaN,NaN,NaN,-0.0050395,NaN,NaN
NaN,NaN,NaN,-0.0004307,NaN,NaN
NaN,NaN,NaN,-0.0200577,NaN,NaN
NaN,NaN,NaN,0.0079297,NaN,NaN
NaN,NaN,NaN,0.0470868,NaN,NaN
NaN,NaN,NaN,0.0150758,NaN,NaN
NaN,NaN,NaN,0.0131634,NaN,NaN
